name,betweenesscentrality,closnesscentrality,clustering,degree,eccentricity,eigencentrality,harmonicclosnesscentrality,weighted degree,pagerank,Spotify ID,Cluster,profile
The Nashville All-Stars,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,4Mo3bz36Mm6tKKgkdvZHqY,1,1A 2A 3A 4A
Obie Trice,0.00046466254864409485,0.08072040599841253,0.0,9,14,0.00011399606490337171,1132.8514180264128,48,0.0003963080592364109,2XnnxQzxFZG8qEPjakokPM,5,1A 2B 3A 4A
Sheree Ballard,0.0,0.05376876687035563,0.0,1,18,5.449204600045563e-09,734.6104815935628,2,3.692671576573197e-05,5zl37Ay5Y8kHiMylyGSkPN,2,1A 2B 3A 4A
Edison Herbert,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,5DOtEw99pouALXUkWdKlD7,1,1A 2A 3A 4A
Erotic D,0.0,0.08078715538662759,0.0,1,15,0.00020660679546152732,1146.197327672328,2,3.0877196513704814e-05,4UDvQ97O0592a8mdeebhPn,5,1A 2B 3A 4A
Joey Alexander,0.0,0.08099366271547606,0.0,1,13,3.134062083270215e-05,1123.4972055721942,2,2.9805931406369718e-05,0FcNSKwWZJb98ry9M2qEII,5,1A 2B 3A 4A
Eagles & Butterflies,0.0,0.06727369567247193,0.0,1,13,6.498909828310585e-07,924.6007159506796,2,2.6431267155462908e-05,7lzrNOBAdfH8f4nVAWbRfk,5,1A 2B 3A 4A
Kheeez,0.0,0.08302610442994339,0.0,1,15,0.0005628963201662153,1173.5921689421739,4,3.687764225076161e-05,7wScoHQ17DMLMClqhzPOGo,5,1A 2B 3A 4A
Fernando Perdomo,0.0,0.05776387093725807,0.0,1,16,9.942146473628955e-09,794.8995185369968,2,2.090561904165157e-05,03yHgT9AG39a7F2e4Mktor,2,1A 2B 3A 4A
Booyah Riot,0.0,0.05138307634637728,0.0,1,18,3.494471322197044e-09,701.1212097543007,2,2.6651066241340083e-05,7lFwcU7LRHVOfvhXkYZIww,2,1A 2B 3A 4A
Simon Lord,0.0,0.09079118203719429,0.0,1,13,0.00041939482552809577,1288.8737928738365,4,3.323424794493055e-05,52LT9OBEsrtxuTbcT6pJMB,4,1A 2B 3A 4A
