Id,name,popularity,followers,genres,image,Spotify ID
2053,Hollyn,54,109804,"ccm, christian alternative rock, christian hip hop, christian music, christian rock, worship",2E6Nnh7AAOVajEHHRDALav.jpg,2E6Nnh7AAOVajEHHRDALav
2054,Mr. Talkbox,41,2068,,3ZGbMG70LcEEo7SBIE3jMH.jpg,3ZGbMG70LcEEo7SBIE3jMH
2055,Tom Petty,66,602252,"album rock, classic rock, folk rock, heartland rock, mellow gold, pop rock, rock, roots rock, singer-songwriter, soft rock",2UZMlIwnkgAEDBsw1Rejkn.jpg,2UZMlIwnkgAEDBsw1Rejkn
2056,Toni Braxton,62,1209966,"dance pop, hip pop, neo soul, new jack swing, pop, quiet storm, r&b, urban contemporary",3X458ddYA2YcVWuVIGGOYe.jpg,3X458ddYA2YcVWuVIGGOYe
2057,Tori Amos,52,292300,"art pop, ectofolk, folk, folk-pop, lilith, melancholia, new wave pop, permanent wave, piano rock, pop rock, singer-songwriter",1KsASRNugxU85T0u6zSg32.jpg,1KsASRNugxU85T0u6zSg32
2058,Icona Pop,65,592540,"candy pop, dance pop, electropop, metropopolis, pop, swedish electropop, swedish synthpop",1VBflYyxBhnDc9uVib98rw.jpg,1VBflYyxBhnDc9uVib98rw
2059,Elliphant,58,104549,swedish indie pop,134GdR5tUtxJrf8cpsfpyY.jpg,134GdR5tUtxJrf8cpsfpyY
2060,Hippie Sabotage,66,237953,electronic trap,4dM6NDYSfLcspt8GLoT5aE.jpg,4dM6NDYSfLcspt8GLoT5aE
2061,Daye Jack,44,8663,escape room,0LSjb1pZ3uHwuvIaVzhdyT.jpg,0LSjb1pZ3uHwuvIaVzhdyT
2062,Train,71,2237042,"dance pop, neo mellow, pop, pop quebecois, pop rap, pop rock",3FUY2gzHeIiaesXtOAdB7A.jpg,3FUY2gzHeIiaesXtOAdB7A
2063,Travie McCoy,61,182301,pop rap,7o9Nl7K1Al6NNAHX6jn6iG.jpg,7o9Nl7K1Al6NNAHX6jn6iG
2064,Trans-Siberian Orchestra,39,145869,"neo classical metal, progressive metal",5OSQDUNmll299ldFIF1Dau.jpg,5OSQDUNmll299ldFIF1Dau
2065,Lzzy Hale,45,5748,,3Nbau9SoiH72jmJdUTqjOY.jpg,3Nbau9SoiH72jmJdUTqjOY
2066,Isaiah Templeton,31,1131,,4atJuIvhr9uWLmxl1ixfG5.jpg,4atJuIvhr9uWLmxl1ixfG5
2067,Geoffrey Golden,39,12697,,6f6vvDOOCgPmArVZcmVS2p.jpg,6f6vvDOOCgPmArVZcmVS2p
2068,Jordan Connell,29,204,,5cgjEov6XQjjUt9jl5bHBn.jpg,5cgjEov6XQjjUt9jl5bHBn
2069,Chandler Moore,34,928,,6y7frW1RUq3XBBXbYowVpk.jpg,6y7frW1RUq3XBBXbYowVpk
2070,Tremonti,53,26263,"alternative metal, post-grunge",44tQC1PjxXIpEgW0i8uN00.jpg,44tQC1PjxXIpEgW0i8uN00
2071,Dimitri McDowell,35,450,,0z5SAvLBgXdLs33L3tLbfo.jpg,0z5SAvLBgXdLs33L3tLbfo
2072,Leah Smith,35,1647,,29b38fzTLn3i4vvRNCED2E.jpg,29b38fzTLn3i4vvRNCED2E
2073,Thi'sl,40,28131,"christian hip hop, christian trap, gospel rap",1Q45nhioxaxZTDjR0iaMWp.jpg,1Q45nhioxaxZTDjR0iaMWp
2074,Trivium,64,572004,"alternative metal, groove metal, melodic metalcore, metal, metalcore, nu metal, rap metal, rap rock",278ZYwGhdK6QTzE3MFePnP.jpg,278ZYwGhdK6QTzE3MFePnP
2075,Tweedy,32,17649,,3F4PBcfdeFdmxjRPS2UdMl.jpg,3F4PBcfdeFdmxjRPS2UdMl
